object_level;object_name;okato;oktmo;gender;education_level;year;study_area;count_graduate;percent_employed;average_salary_fact_avg;average_salary_fact_med;average_salary_norm_avg;average_salary_norm_med;average_age;percent_combine_work_and_study
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2021;Здравоохранение и медицинские науки;10420;76.001;69172.449;62500.0;63490.268;59567.917;26.646;49.251
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2021;Инженерное дело, технологии и технические науки;174152;76.822;83934.615;76083.33;77478.674;70833.33;26.26;55.489
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2021;Искусство и культура;4711;73.731;67168.053;59136.365;61003.407;56000.0;25.9;48.334
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2021;Математические и естественные науки;98;74.713;71788.445;55833.33;62074.228;55733.336;27.235;54.082
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2021;Науки об обществе;49996;63.526;69333.451;60083.33;61763.973;52882.503;25.974;39.925
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2021;Образование и педагогические науки;1873;77.59;71416.534;64175.0;66633.701;62548.5;27.577;57.448
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2021;Сельское хозяйство и сельскохозяйственные науки;15881;71.077;71719.157;64500.0;69076.074;62620.833;28.238;55.884
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2021;Гуманитарные науки;6946;78.221;52659.692;47416.67;48400.306;45290.003;25.849;49.942
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2021;Здравоохранение и медицинские науки;61286;83.849;56639.46;51750.0;52783.464;50826.787;27.64;47.515
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2021;Инженерное дело, технологии и технические науки;55340;78.351;55905.209;50250.0;51344.275;46433.75;26.33;51.634
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2021;Искусство и культура;18116;75.747;51530.795;46454.55;47478.64;44129.17;26.059;41.328
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2021;Математические и естественные науки;171;82.979;61595.058;53600.0;50429.156;46008.0;27.965;53.216
Страна;Российская Федерация;00000000;00000000;Женский;СПО: специалисты среднего звена;2021;Науки об обществе;103667;73.826;50851.66;45750.0;45404.447;41485.716;25.438;41.706
